,publication_date,lupus,hiv/aids,prostate cancer,covid-19,takotsubo cardiomyopathy,multiple sclerosis,colon cancer,tuberculoses,bacterial pneumonia,endocarditis,syphilis,type 2 diabetes,multiple myeloma,essential hypertension,sarcoidoses,rheumatoid arthritis,hepatitis b
107,1797.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1798.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1799.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1800.0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1801.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1802.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1803.0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1804.0,0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0
115,1806.0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1807.0,17,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,1808.0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1809.0,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,1810.0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1811.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1812.0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,1813.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1814.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1815.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1816.0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1817.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,1818.0,2,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
128,1819.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,1820.0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,1821.0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1822.0,0,10,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0
132,1823.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1824.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1825.0,2,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
135,1826.0,0,4,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0
136,1827.0,12,9,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0
137,1828.0,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,1829.0,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139,1830.0,1,86,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
140,1831.0,1,17,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0
141,1832.0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1833.0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,1834.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1835.0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1836.0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
146,1837.0,7,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,1838.0,1,30,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0
148,1839.0,0,31,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
149,1840.0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1841.0,2,21,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0
151,1842.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1843.0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
153,1844.0,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,1845.0,10,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,1846.0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1847.0,1,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
157,1848.0,4,35,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
158,1849.0,7,15,0,0,0,0,0,9,4,0,11,0,0,0,0,0,0
159,1850.0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
160,1851.0,9,58,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
161,1852.0,3,56,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
162,1853.0,5,37,0,0,0,0,0,2,9,0,41,0,0,0,0,0,0
163,1854.0,11,57,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
164,1855.0,4,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,1856.0,3,39,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0
166,1857.0,4,30,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
167,1858.0,4,57,0,0,0,0,0,3,4,0,148,0,0,0,0,0,0
168,1859.0,3,52,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
169,1860.0,7,70,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0
170,1861.0,2,62,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
171,1862.0,3,26,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
172,1863.0,96,35,0,0,0,0,0,1,18,0,9,1,0,0,0,0,0
173,1864.0,2,45,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0
174,1865.0,3,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
175,1866.0,4,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
176,1867.0,8,53,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0
177,1868.0,9,51,0,0,0,0,0,1,15,0,6,4,0,0,0,0,0
178,1869.0,14,53,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0
179,1870.0,3,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,1871.0,3,51,0,0,0,0,0,2,7,0,23,0,0,0,0,0,0
181,1872.0,18,53,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
182,1873.0,5,49,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
183,1874.0,11,110,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0
184,1875.0,8,36,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
185,1876.0,3,69,0,0,0,0,0,3,5,0,14,1,0,0,0,0,0
186,1877.0,17,83,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0
187,1878.0,7,34,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
188,1879.0,4,42,0,0,0,0,0,5,17,0,6,0,0,0,0,0,0
189,1880.0,12,60,0,0,0,0,0,6,60,0,69,0,0,0,0,0,0
190,1881.0,27,67,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0
191,1882.0,18,75,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0
192,1883.0,11,83,0,0,0,0,0,4,17,1,32,0,0,0,0,0,0
193,1884.0,9,58,0,0,0,0,0,11,11,0,5,2,0,0,0,0,0
194,1885.0,44,106,0,0,0,3,2,447,1342,352,773,0,0,0,0,231,0
195,1886.0,5,56,0,0,0,0,0,5,12,0,5,0,0,0,0,0,0
196,1887.0,24,64,0,0,0,0,0,4,19,0,20,2,0,0,0,0,0
197,1888.0,9,102,0,0,0,0,0,5,27,0,4,1,0,0,0,0,0
198,1889.0,27,59,0,0,0,0,0,8,18,0,23,0,0,0,0,0,0
199,1890.0,47,55,0,0,0,0,0,99,21,0,25,0,0,0,0,0,0
200,1891.0,33,122,0,0,0,0,0,13,24,2,2,0,0,0,0,1,0
201,1892.0,10,107,0,0,0,1,0,5,21,0,6,0,0,0,0,0,0
202,1893.0,76,68,0,0,0,0,0,10,52,0,6,0,0,0,0,0,0
203,1894.0,51,79,0,0,0,0,0,11,47,1,17,0,0,0,0,0,0
204,1895.0,11,117,0,0,0,0,0,6,18,1,0,0,0,0,0,1,0
205,1896.0,12,73,0,0,0,0,0,14,39,1,33,0,0,0,0,0,0
206,1897.0,65,98,0,0,0,0,0,10,39,0,13,0,0,0,0,1,0
207,1898.0,51,117,0,0,0,0,0,45,28,0,17,0,0,0,0,0,0
208,1899.0,66,147,0,0,0,0,0,101,81,4,38,0,0,0,0,0,0
209,1900.0,18,126,0,0,0,2,0,88,79,0,18,0,0,0,0,0,0
210,1901.0,18,118,0,0,0,0,0,52,45,0,14,0,0,0,0,0,0
211,1902.0,154,111,0,0,0,0,0,83,49,4,41,5,0,0,0,0,0
212,1903.0,25,132,0,0,0,0,0,43,55,0,8,0,0,0,0,0,0
213,1904.0,29,142,0,0,0,0,0,36,49,1,7,2,0,0,0,2,0
214,1905.0,115,148,0,0,0,0,0,41,47,0,36,0,0,2,0,0,0
215,1906.0,23,121,0,0,0,0,0,66,111,2,53,0,0,0,0,2,0
216,1907.0,33,105,1,0,0,2,0,63,107,0,41,0,0,1,0,0,0
217,1908.0,120,148,0,0,0,1,0,245,93,0,62,0,0,0,0,0,0
218,1909.0,116,196,0,0,0,0,0,161,81,0,114,0,0,0,0,0,0
219,1910.0,15,127,0,0,0,0,0,213,140,17,81,0,0,0,0,0,0
220,1911.0,71,155,0,0,0,0,0,214,146,0,39,2,0,0,0,5,0
221,1912.0,35,162,1,0,0,2,0,247,170,3,89,2,0,0,0,2,0
222,1913.0,49,191,0,0,0,0,0,150,150,140,121,2,0,83,0,0,0
223,1914.0,46,165,0,0,0,0,0,349,117,0,57,1,0,0,0,0,0
224,1915.0,29,154,0,0,0,0,0,89,125,5,31,0,0,0,0,0,0
225,1916.0,94,102,0,0,0,2,0,116,124,0,73,1,0,1,0,0,0
226,1917.0,37,158,0,0,0,0,0,268,144,2,191,0,0,0,0,3,0
227,1918.0,111,113,0,0,0,0,0,143,106,0,28,0,0,0,0,0,0
